loc,xCoordinate,yCoordinate
"Mid-Range_Left Side(L)",-109,9
"Mid-Range_Left Side(L)",-153,13
"Restricted Area_Center(C)",-4,13
"Above the Break 3_Center(C)",-44,241
"In The Paint (Non-RA)_Center(C)",-4,63
"Restricted Area_Center(C)",-4,-2
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",1,34
"Above the Break 3_Right Side Center(RC)",138,232
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",-10,2
"Mid-Range_Right Side Center(RC)",83,188
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),11,150
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-145,198
"Above the Break 3_Right Side Center(RC)",153,192
Mid-Range_Center(C),32,165
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",132,51
"Mid-Range_Right Side(R)",146,0
Mid-Range_Center(C),-16,215
Mid-Range_Center(C),3,181
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",153,-8
"Mid-Range_Left Side(L)",-193,7
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Above the Break 3_Left Side Center(LC)",-136,209
"Above the Break 3_Left Side Center(LC)",-136,209
"In The Paint (Non-RA)_Center(C)",32,51
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",62,127
"Mid-Range_Left Side(L)",-172,122
"Mid-Range_Right Side(R)",182,122
"In The Paint (Non-RA)_Center(C)",24,61
"Mid-Range_Right Side(R)",205,61
"Mid-Range_Left Side(L)",-202,7
"Mid-Range_Left Side(L)",-94,122
"Mid-Range_Left Side(L)",-187,-2
"Mid-Range_Left Side Center(LC)",-157,133
"Mid-Range_Left Side(L)",-130,0
Mid-Range_Center(C),3,177
Mid-Range_Center(C),18,177
"Mid-Range_Left Side(L)",-151,0
"In The Paint (Non-RA)_Center(C)",-29,28
"Mid-Range_Left Side(L)",-149,4
"Above the Break 3_Center(C)",30,394
"In The Paint (Non-RA)_Center(C)",-56,57
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-134,15
"Mid-Range_Left Side(L)",-162,26
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",108,114
"Mid-Range_Right Side(R)",100,57
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",108,57
"In The Paint (Non-RA)_Center(C)",7,87
"Above the Break 3_Left Side Center(LC)",-235,129
"In The Paint (Non-RA)_Center(C)",51,53
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Right Side(R)",79,76
"Mid-Range_Right Side Center(RC)",129,173
"Restricted Area_Center(C)",0,0
"Right Corner 3_Right Side(R)",231,53
"In The Paint (Non-RA)_Right Side(R)",73,91
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side Center(RC)",94,152
"Mid-Range_Right Side(R)",123,80
"Mid-Range_Right Side(R)",129,9
"In The Paint (Non-RA)_Center(C)",-12,87
Mid-Range_Center(C),-42,213
"Above the Break 3_Center(C)",16,257
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Left Corner 3_Left Side(L)",-242,47
"In The Paint (Non-RA)_Center(C)",1,63
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-162,36
"Mid-Range_Right Side(R)",108,4
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Left Side(L)",-71,91
"Mid-Range_Left Side(L)",-98,15
"Right Corner 3_Right Side(R)",222,-23
"Mid-Range_Left Side Center(LC)",-98,127
"Mid-Range_Left Side(L)",-170,23
"Mid-Range_Left Side(L)",-155,55
"Mid-Range_Left Side(L)",-134,85
"Above the Break 3_Right Side Center(RC)",210,137
