primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
1627783_Total_2017-18,1627783,Total,840,367,2,0.9928571428571429,1.1649428469820653,0.9917746596247974,0.28622020011932814,2017-18,2017-12-11T07:02:47.169,1627783,"Pascal Siakam"
1627785_Total_2017-18,1627785,Total,199,84,2,0.9748743718592965,1.179545887960916,1.0067351053312643,0.24161848855956142,2017-18,2017-12-11T07:02:47.169,1627785,"Isaiah Whitehead"
1627789_Total_2017-18,1627789,Total,827,365,3,0.9963724304715841,1.158006207414455,0.9802729524998302,0.3091150498507516,2017-18,2017-12-11T07:02:47.169,1627789,"Timothe Luwawu-Cabarrot"
1627812_Total_2017-18,1627812,Total,1279,559,2,0.9906176700547302,1.1616383956920895,0.993700132189531,0.2860057963517362,2017-18,2017-12-11T07:02:47.169,1627812,"Yogi Ferrell"
1627819_Total_2017-18,1627819,Total,537,231,3,0.9739292364990689,1.157627935994764,1.0071368715361957,0.2935738434104203,2017-18,2017-12-11T07:02:47.169,1627819,"Isaiah Taylor"
1627823_Total_2017-18,1627823,Total,310,156,2,1.1548387096774193,1.1921351703175327,0.9915214144817616,0.2850349275431157,2017-18,2017-12-11T07:02:47.169,1627823,"Juan Hernangomez"
1627827_Total_2017-18,1627827,Total,188,83,2,1.0372340425531914,1.2088753382884243,0.9909167870380328,0.3234728928898768,2017-18,2017-12-11T07:02:47.169,1627827,"Dorian Finney-Smith"
1627832_Total_2017-18,1627832,Total,692,295,3,0.9436416184971098,1.1269184176849698,0.984121103386406,0.28897645073597605,2017-18,2017-12-11T07:02:47.169,1627832,"Fred VanVleet"
1627835_Total_2017-18,1627835,Total,637,315,2,1.1271585557299844,1.1824861106421687,1.040012745974541,0.28089102154842804,2017-18,2017-12-11T07:02:47.169,1627835,"Paul Zipser"
1627846_Total_2017-18,1627846,Total,160,83,2,1.18125,1.1825389792729872,0.9677444697047239,0.30912679712211494,2017-18,2017-12-11T07:02:47.169,1627846,"Abdel Nader"
