primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
1627780_Total_2017-18,1627780,Total,119,55,2,0.9747899159663865,1.0726718770736456,0.9356015164805873,0.3663652888586153,2017-18,2017-12-11T07:02:47.169,1627780,"Gary Payton II"
1627781_Total_2017-18,1627781,Total,237,105,2,0.9915611814345991,1.1473379983874643,0.9659496555254905,0.36890899501251057,2017-18,2017-12-11T07:02:47.169,1627781,"Malachi Richardson"
1627783_Total_2017-18,1627783,Total,873,430,2,1.1179839633447881,1.1767349803361489,1.0247084870866028,0.3034600432034817,2017-18,2017-12-11T07:02:47.169,1627783,"Pascal Siakam"
1627785_Total_2017-18,1627785,Total,185,77,2,0.9135135135135135,1.1116489243005037,0.9959171978394914,0.2885648780329641,2017-18,2017-12-11T07:02:47.169,1627785,"Isaiah Whitehead"
1627789_Total_2017-18,1627789,Total,800,353,2,0.98875,1.14831330110732,0.9933087309205108,0.29792951903588527,2017-18,2017-12-11T07:02:47.169,1627789,"Timothe Luwawu-Cabarrot"
1627812_Total_2017-18,1627812,Total,1306,558,2,0.9869831546707504,1.182043650916422,1.0002807053887768,0.30062493246218447,2017-18,2017-12-11T07:02:47.169,1627812,"Yogi Ferrell"
1627819_Total_2017-18,1627819,Total,516,241,3,1.0755813953488371,1.1910944787582025,1.0051843613567861,0.3335557049990385,2017-18,2017-12-11T07:02:47.169,1627819,"Isaiah Taylor"
1627823_Total_2017-18,1627823,Total,338,158,2,1.0650887573964498,1.1774107176509303,1.0296542539548275,0.24670568805979165,2017-18,2017-12-11T07:02:47.169,1627823,"Juan Hernangomez"
1627827_Total_2017-18,1627827,Total,201,79,3,0.9353233830845771,1.2014899621945356,0.9707146460051005,0.2863482184644511,2017-18,2017-12-11T07:02:47.169,1627827,"Dorian Finney-Smith"
1627832_Total_2017-18,1627832,Total,714,349,2,1.1176470588235294,1.1858866880006091,1.0370835555927085,0.3074772883318776,2017-18,2017-12-11T07:02:47.169,1627832,"Fred VanVleet"
1627835_Total_2017-18,1627835,Total,626,268,2,0.9904153354632588,1.18425674781647,0.943975679350268,0.2874179107096932,2017-18,2017-12-11T07:02:47.169,1627835,"Paul Zipser"
